id,title,author,available,isbn13,price,format,publisher,pubdate,subjects,pages,overview
1,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,1,9780435910105,$14.52,Paperback,Heinemann,September 1999,"General & Miscellaneous Literature Anthologies, Anthologies",186,In this anthology the award-winning author Yvonne Vera brings together the stories of many talented writers from different parts of Africa.
2,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,1,9781906523374,$13.46,Paperback,New Internationalist,August 2010,"Short Story Anthologies, African Fiction, African Literature Anthologies",208," The Caine Prize for African Writing is Africa's leading literary prize. For the past ten years it has supported and promoted contemporary African writing. Previous winners and entrants include Chimamanda Ngozi Adichie, Segun Afolabi, EC Osondu, Leila Aboulela, Brian Chikwava, Henrietta Rose-Innes, Mary Watson, and Binyavanga Wainaina.</p>
 The 2010 collection will include the shortlisted stories and the stories written at the Caine Prize Writers' Workshop. It will be published in time for the announcement of the award in July 2010.</p>"
3,African Folktales,Roger D. Abrahams,1,9780394721170,$18.95,Paperback,Knopf Doubleday Publishing Group,August 1983,"Travel, Africa",,
4,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,1,9780813190761,$30.00,Paperback,University Press of Kentucky,December 2003,"United States History - African American History, African American History, African Diaspora History, American Literature Anthologies, Anthologies, Ethnic & Minority Studies, United States History - 18th Century - General & Miscellaneous, Africana - Afric",416,"Vincent Carretta has assembled the most comprehensive anthology ever published of writings by eighteenth-century people of African descent, capturing the surprisingly diverse experiences of blacks on both sides of the Atlantic--America, Britain, the West Indies, and Africa--between 1760 and 1798."
5,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,1,9781558615007,$29.95,Paperback,"Feminist Press at CUNY, The",August 2005,"Literary Criticism - General & Miscellaneous, Oral Tradition & Storytelling, African Literature Anthologies",560," The acclaimed Women Writing Africa project “opens up worlds too often excluded from the history books” (<i>Booklist</i>) and is an “essential resource for scholars and general readers alike” (<i>Library Journal</i>). It reveals the cultural legacy of African women in their own words, in never-before- published texts that include communal songs and lullabies, letters and speeches, poetry and fiction.</p>
 Representing 20 languages and 12 countries, volume 2 covers western Africa, where most African Americans find their roots. The collection presents an epic history of the region through the eyes of its women, from the age of African kings through colonialism and independence.</p>
 Volume 1 of the series, <i>Women Writing Africa: The Southern Region</i>, is also available; volumes 3 and 4 will be published in 2006.</p>"
6,"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",The Caine The Caine Prize for African Writing,1,9781906523244,$18.95,Hardcover,New Internationalist,September 2009,Literary Collections,,
7,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,1,9781592211517,$23.95,Hardcover,Africa World Press,February 2006,"Africa - Anthropology & Sociology, African Folklore & Mythology, Oral Tradition & Storytelling, General & Miscellaneous African Literature - Literary Criticism, African Literature Anthologies, Fables, Fairy Tales, & Folk Tales - Literary Criticism",146,"This new book puts together in a single cover, two earlier volumes by the authors, now revised to meet the challenges of a twenty-first century scholarship in African performance and cultural studies. Topics covered range from sources of African oral traditions, relevance of cosmology to African oral performance, fieldwork practice and research methodology, archetypes, folktales, myths and legends, performance and stylistic features, to various areas of poetic performances like praise poetry, religious poetry, topical, occupational and heroic poetry, their performances and more. The central theme of the book is performance, and students, scholars and readers are provided with projects and exercises intended to keep them involved in research and performance experience of the oral forms. Teaching and curriculum development suggestions are given to teachers of African oral performances. Important information is provided to guide researchers into a continued exciting experience in the study of and research into African oral traditions. Materials are included from a good number of languages and cultures of Africa including Yoruba, Hausa, Nupe, among others, so that students would be able to explore these important examples as testimony of the richness of the scholarly and cultural resources in African oral traditions."
8,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,1,9780803211025,$45.00,Hardcover,UNP - Nebraska,December 2009,"Literary Criticism - General & Miscellaneous, Caribbean Fiction & Prose Literature - Literary Criticism, African Literature Anthologies",236,"African and Caribbean peoples share a history dominated by the violent disruptions of slavery and colonialism. While much has been said about these “geographies of pain,” violence in the private sphere, particularly gendered violence, receives little attention. This book fills that void. It is a critical addition to the study of African and Caribbean women’s literatures at a time when women from these regions are actively engaged in articulating the ways in which colonial and postcolonial violence impact women.&nbsp;Chantal Kalisa examines the ways in which women writers lift taboos imposed on them by their society and culture and challenge readers with their unique perspectives on violence. Comparing women from different places and times, Kalisa treats types of violence such as colonial, familial, linguistic, and war-related, specifically linked to dictatorship and genocide. She examines Caribbean writers Michele Lacrosil, Simone Schwartz-Bart, Gisèle Pineau, and Edwidge Danticat, and Africans Ken Begul, Calixthe Beyala, Nadine Bar, and Monique Ilboudo. She also includes Sembène Ousmane and Frantz Fanon for their unique contributions to the questions of violence and gender. This study advances our understanding of the attempts of African and Caribbean women writers to resolve the tension between external forms of violence and internal forms resulting from skewed cultural, social, and political rules based on gender."
9,Oral Epics from Africa,John William Johnson,1,9780253211101,$24.95,Paperback,Indiana University Press,March 2008,"Literary Criticism, African",,
10,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,1,9780912469096,$14.95,Hardcover,"Majority Press, Incorporated, The",October 1991,"Literary Criticism, General",363,
